,home_team,away_team,home_score,away_score,tournament,country,neutral,outcome,year,continent
37895,Paraguay,Brazil,2.0,2.0,FIFA World Cup qualification,Paraguay,False,Draw,2016,America
37896,Philippines,Korea DPR,3.0,2.0,FIFA World Cup qualification,Philippines,False,Home,2016,Asia
37897,Portugal,Belgium,2.0,1.0,Friendly,Portugal,False,Home,2016,Europe
37898,Rwanda,Mauritius,5.0,0.0,African Cup of Nations qualification,Rwanda,False,Home,2016,Africa
37899,Scotland,Denmark,1.0,0.0,Friendly,Scotland,False,Home,2016,Europe
37900,South Africa,Cameroon,0.0,0.0,African Cup of Nations qualification,South Africa,False,Draw,2016,Africa
37901,St. Kitts and Nevis,Antigua and Barbuda,1.0,0.0,CFU Caribbean Cup qualification,St. Kitts and Nevis,False,Home,2016,America
37902,Sudan,Côte d'Ivoire,1.0,1.0,African Cup of Nations qualification,Sudan,False,Draw,2016,Africa
37903,Suriname,Guadeloupe,3.0,2.0,CFU Caribbean Cup qualification,Suriname,False,Home,2016,America
37904,Sweden,Czech Republic,1.0,1.0,Friendly,Sweden,False,Draw,2016,Europe
37905,Switzerland,Bosnia and Herzegovina,0.0,2.0,Friendly,Switzerland,False,Away,2016,Europe
